title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Employees' Guarantee Fund,Denmark,01/01/1962,"Income support for people in employment (e.g., short-time work)",11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-1962-1_2623.html
ManagementWorks,Ireland,01/01/2012,Other,11/18/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2012-1_2624.html
Guaranteed Employee Benefits Fund,Poland,08/01/2006,"Income support for people in employment (e.g., short-time work)",11/25/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2006-31_2625.html
Protection of Employees in Case of Insolvency of the Employer,Latvia,01/01/2003,"Income support for people in employment (e.g., short-time work)",10/25/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2003-1_2626.html
Insolvency compensation,Germany,03/24/1997,"Income support for people in employment (e.g., short-time work)",11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-1997-13_2627.html
Guarantee fund for debt salaries,Romania,05/22/2006,"Income support for people in employment (e.g., short-time work)",11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/RO-2006-21_2628.html
Wage Guarantee Fund,Portugal,06/15/1999,"Income support for people in employment (e.g., short-time work)",10/14/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-1999-25_2629.html
Temporary reduction of working hours/suspension of employment contracts,Portugal,02/12/2009,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",04/20/2023,https://static.eurofound.europa.eu/covid19db/cases/PT-2009-7_2589.html
"Public Guarantee, Alimony and Disability Fund",Slovenia,01/01/1994,"Income support for people in employment (e.g., short-time work)",11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-1994-1_2631.html
State guarantee for wages in case of insolvency,Norway,01/01/1974,"Income support for people in employment (e.g., short-time work)",11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-1974-1_2632.html
Wage guarantee in case of insolvency,Greece,02/12/2018,"Income support for people in employment (e.g., short-time work)",04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/GR-2018-7_2633.html
Organisation of working time,Greece,03/11/2020,Working time flexibility,07/12/2023,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-11_2634.html
Law for guaranteeing workers' and employees' receivables in the event of employer's insolvency,Bulgaria,05/04/2004,"Income support for people in employment (e.g., short-time work)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2004-19_2635.html
Wage Guarantee Act,Sweden,06/04/1992,"Income support for people in employment (e.g., short-time work)",10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-1992-23_2636.html
Working Conditions Fund,Bulgaria,01/01/2014,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",10/28/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2014-1_2637.html
Enterprise Ireland,Ireland,01/01/1998,Change of production/Innovation,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-1998-1_2638.html
Secured voluntary mobility,France,06/14/2013,Transfer or redeployment of workers ,11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2013-24_2639.html
Extension of working time,Bulgaria,01/01/2021,Working time flexibility,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-1_2640.html
Work Compensation Fund and Guarantee Fund for Work Compensation,Portugal,08/30/2013,"Income support for people in employment (e.g., short-time work)",10/14/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2013-35_2641.html
Temporary sublease of employees,Luxembourg,07/28/2020,Transfer or redeployment of workers ,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-31_2642.html
Employment Observatory - RETEL,Luxembourg,04/08/2018,Smoothing frictions or reallocation of workers,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2018-15_2643.html
Temporary suspension of employee's contracts,Greece,03/20/2020,"Income support for people in employment (e.g., short-time work)",07/12/2023,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_2644.html
Rotating employment,Greece,03/20/2020,Working time flexibility,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_2645.html
Fund for ensuring workers’ claims in the event of an employer’s,Croatia,07/23/2007,"Income support for people in employment (e.g., short-time work)",11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2007-30_2646.html
National Export Portal,Bulgaria,04/22/2010,Change of production/Innovation,04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2010-17_2647.html
The research tax credit,France,01/01/1984,Direct subsidies (full or partial) or damage compensation,11/29/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-1984-1_2648.html
Local Enterprise Offices (LEOs),Ireland,01/01/2014,Change of production/Innovation,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2014-1_2649.html
Employee sharing,Czechia,01/01/2012,Working time flexibility,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2012-1_2650.html
Employee sharing,Hungary,01/06/2012,Changes of working hours or work arrangements,11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2012-1_2651.html
Agreements on work performed outside the employment relationship,Slovakia,08/08/2001,Working time flexibility,12/01/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2001-32_2652.html
Simplified employment,Hungary,08/01/2010,Mobilisation of a larger workforce,11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2010-32_2653.html
Redundancy allowance for a closed business,Belgium,06/26/2002,"Income support for people in employment (e.g., short-time work)",11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2002-26_2654.html
Transition allowance,Belgium,06/07/1985,Income support for unemployed,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-1985-23_2655.html
Redeployment Leave,France,05/01/2008,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/09/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2008-18_2656.html
National Vocational Qualification,Slovenia,09/30/2000,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2000-40_2657.html
Employers' Offices,Slovenia,09/01/2013,Creation of platforms for businesses aimed at customer,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2013-36_2658.html
Training Account,Spain,02/10/2012,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2012-6_2659.html
Alternative Finance Act,Austria,08/14/2015,Access to finance,10/19/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2015-33_2660.html
Partial benefit for termination of activity,Portugal,01/25/2013,"Income support for people in employment (e.g., short-time work)",11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2013-4_2661.html
Micro Invest Scheme,Malta,04/01/2016,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2016-14_2662.html
Bilateral solidarity and occupational redeployment funds,Italy,06/28/2012,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2012-26_2663.html
Going for Growth,Ireland,01/01/2008,Matching/networking,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2008-1_2664.html
Spain Tech Centre,Spain,01/01/2011,Change of production/Innovation,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2011-1_2665.html
Market development programme,Germany,01/01/2012,Measures related to foreign trade,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2012-1_2666.html
Intellectual Property Attaché Network,United Kingdom,01/01/2011,Change of production/Innovation,01/05/2023,https://static.eurofound.europa.eu/covid19db/cases/GB-2011-1_2667.html
"Grant scheme for demonstration projects, feasibility studies and investment",Netherlands,03/01/2013,Access to finance,10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2013-9_2668.html
The National Skills Database,Ireland,01/01/2004,Smoothing frictions or reallocation of workers,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2004-1_2669.html
Joint purchase training,Finland,01/01/1991,Matching/networking,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-1991-1_2670.html
Outplacement,Belgium,01/01/2014,Matching/networking,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2014-1_2671.html
Employment protection plan (PSE),France,01/17/2002,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2002-3_2672.html
Rapid Reaction Service,Malta,01/01/2007,Transfer or redeployment of workers ,11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2007-1_2673.html
Public support for job seekers whose employment is at risk,Slovenia,10/27/2010,Income support for unemployed,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2010-44_2674.html
Helping hand loan,Belgium,01/01/2016,Access to finance,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/BE-2016-1_2675.html
Circular economy cheque,Belgium,01/01/2018,Change of production/Innovation,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2018-1_2676.html
Early Warning Scan,Belgium,01/01/2018,Other,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2018-1_2677.html
Measures to prevent unemployment - work and study,Estonia,05/01/2017,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2017-18_2678.html
Collective performance agreement,France,01/01/2018,Wage flexibility ,11/09/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2018-1_2679.html
Workplace Innovation Toolkit,Ireland,01/01/2018,Change of production/Innovation,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2018-1_2680.html
Law on the reduction of wage tax and national insurance in favour of research and development work,Netherlands,01/01/1994,Access to finance,10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-1994-1_2681.html
SME Digital 3.1,Austria,09/01/2017,Changes in work organisation,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2017-35_2682.html
Energy Agenda,Netherlands,01/01/2020,Change of production/Innovation,11/22/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-1_2683.html
Support for Succession in Family Businesses,Poland,10/01/2018,Access to finance,11/28/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2018-40_2684.html
Impact Innovation,Austria,01/01/2017,Change of production/Innovation,10/19/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2017-1_2685.html
Promotion of raw material management,Austria,07/01/2022,Access to finance,10/19/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2022-27_2686.html
National Strategy for Environmental Education,Portugal,07/11/2017,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",10/20/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2017-28_2687.html
Easy'Green,Belgium,01/01/2002,Access to finance,11/09/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2002-1_2688.html
Implementation of a Program for SMEs robotisation,Sweden,01/01/2018,Change of production/Innovation,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-2018-1_2689.html
Energy Loan,Czechia,06/01/2021,Access to finance,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2021-23_2690.html
go-digital,Germany,07/06/2017,Change of production/Innovation,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2017-27_2691.html
Talent Boost,Finland,04/27/2017,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-2017-17_2692.html
National Ownership Transfer Point,Slovenia,01/01/2019,Access to finance,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2019-1_2693.html
Digital Skills Bridge,Luxembourg,05/01/2018,Smoothing frictions or reallocation of workers,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2018-18_2694.html
Corporate Energy Efficiency Loan,Latvia,11/01/2017,Access to finance,10/25/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2017-44_2695.html
Federal funding for energy advice for SMEs,Germany,01/01/2016,Access to finance,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2016-1_2696.html
Connected Industry 4.0,Spain,07/05/2016,Change of production/Innovation,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2016-28_2697.html
Sustainability Agenda for Beverage Packaging,Austria,02/01/2018,Change of production/Innovation,10/28/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2018-5_2698.html
